1.1343	-1.6934e-06	2.2813
0.78508	4.791e-06	0.58448
0.88668	5.6194e-06	-2.3641
1.1654	1.9641e-06	-2.5934
0.72084	-1.3631e-06	-0.092859
0.53345	1.1877e-07	-1.4055
0.75306	5.6713e-07	2.3759
0.31655	-1.4857e-06	1.0875
0.32494	-1.6882e-06	-1.4583
0.17463	5.5857e-08	2.9119
0.64435	3.2054e-06	-0.096613
0.98516	-3.8871e-06	-1.0815
0.45353	2.6771e-07	1.52
0.87282	-5.0124e-06	1.6929
0.46456	9.8172e-07	-1.5128
0.7273	-3.6485e-06	-2.4736
0.31012	5.6079e-07	-1.3271
1.0718	2.2686e-06	-1.019
0.72939	8.4348e-07	0.9154
0.84826	-5.3263e-07	2.8425
0.98234	-4.0072e-06	1.4251
0.84359	-5.6766e-06	0.75448
0.56649	2.0371e-06	-0.84448
0.69533	4.5693e-06	2.2645
0.9607	4.1091e-06	-0.42948
0.13365	-1.6082e-07	-1.0899
0.61013	-2.5294e-06	1.3833
1.0815	-6.8454e-06	2.7011
0.42107	-1.2123e-06	0.89671
0.56615	2.152e-06	1.125
1.0421	6.4283e-06	0.30587
0.41442	2.2899e-06	1.6773
0.66214	3.535e-06	0.6599
0.17311	-7.9542e-07	0.99125
0.43601	-6.7373e-07	-2.6243
1.2012	-5.6082e-06	-0.84226
0.77898	1.3468e-06	0.81127
0.91319	2.3691e-06	2.7914
0.84161	-1.6239e-06	3.0799
0.54155	3.908e-07	-0.66345
1.0769	3.1537e-06	-0.74066
0.36805	-1.833e-06	0.68161
0.61458	4.5315e-06	1.4482
0.60432	3.7936e-06	1.5202
1.0485	4.319e-06	-1.0687
1.0959	6.2911e-06	-0.8389
0.87714	-1.9129e-06	0.4802
0.66235	4.4918e-06	0.54771
0.58457	4.4335e-06	-1.292
1.0787	6.3642e-06	1.0349
0.63717	-3.5943e-06	-2.1351
0.2061	-2.4808e-07	0.49645
1.0955	2.5664e-06	2.3633
0.91028	4.6562e-06	-0.19432
0.74024	1.4573e-06	0.03493
0.67445	1.5374e-06	2.2508
0.64153	-3.2194e-06	1.3029
0.75124	5.5379e-07	2.9701
0.26105	1.5362e-06	0.74961
0.80451	-4.2709e-06	-1.5497
0.76846	-1.3804e-06	0.74238
0.19741	-1.6836e-08	0.26086
0.95288	-5.681e-07	1.9303
1.0532	-6.8935e-06	0.86239
1.0691	2.8624e-06	-1.0629
0.57091	-1.5891e-07	2.6802
0.64234	3.3879e-06	0.57755
0.93328	-5.8816e-06	0.10926
0.35695	-1.8937e-06	-0.68756
1.064	2.7603e-06	2.5668
0.89476	1.0383e-06	0.62397
0.72294	3.7901e-06	3.0292
0.75334	-2.6418e-06	1.845
0.46947	1.2625e-06	-1.5305
0.83397	5.9153e-06	-1.1504
0.67625	-4.6057e-06	0.076172
1.0368	5.2725e-06	2.7684
1.1107	-6.3711e-06	1.0397
0.90904	3.9095e-06	2.9261
0.91752	5.9238e-06	2.4484
0.60513	2.9886e-06	-0.27893
0.65635	2.0484e-06	1.7955
0.81639	1.0001e-06	1.3699
0.98985	2.8781e-06	-0.70308
0.23815	-7.9091e-07	0.49433
0.63021	-4.5571e-06	-1.6725
0.99541	4.1857e-06	0.8743
1.0757	3.109e-06	0.75753
